ts_utc,latitude,longitude,altitude,airspeed
2025-11-12 17:59:53.000 UTC,37.41847042003646,-122.0493021759158,14.0,-5.066931082012802
2025-11-12 17:59:54.000 UTC,37.41843917872757,-122.04931491812692,14.25,-5.066897069440787
2025-11-12 17:59:55.000 UTC,37.41843947494402,-122.04931503337808,14.25,-5.066819174101694
2025-11-12 17:59:56.000 UTC,37.4183717770502,-122.04932409295812,14.125,-5.066775293881295
2025-11-12 17:59:57.000 UTC,37.41833628248423,-122.04931288086942,13.875,-5.066731415979072
2025-11-12 17:59:58.000 UTC,37.418296304438265,-122.04930385586572,13.75,-5.066687540394836
2025-11-12 17:59:59.000 UTC,37.41825942780822,-122.04928673632443,13.75,-5.066541638624707
2025-11-12 18:00:00.000 UTC,37.41825019922108,-122.04926419685994,13.75,-5.0663080156903
2025-11-12 18:00:01.000 UTC,37.418174708168955,-122.04924594786716,13.75,-5.066274007300716
2025-11-12 18:00:02.000 UTC,37.418127989955245,-122.04921315092594,14.0,-5.0661961406933615
2025-11-12 18:00:03.000 UTC,37.41809855075553,-122.0491952235962,14.625,20.626166572684845
2025-11-12 18:00:04.000 UTC,37.41801100373268,-122.04913573311524,14.75,24.22747186269899
2025-11-12 18:00:05.000 UTC,37.41794112212956,-122.04909577343614,15.0,27.042617628257354
2025-11-12 18:00:06.000 UTC,37.41789040602744,-122.04904285182378,15.125,30.436143602180227
2025-11-12 18:00:07.000 UTC,37.41776697970927,-122.04898151704926,15.375,34.61355505041479
2025-11-12 18:00:08.000 UTC,37.417675799690194,-122.04891433306037,15.0,36.38476556106612
2025-11-12 18:00:09.000 UTC,37.41757237482817,-122.04885696160838,14.5,40.175990507355344
2025-11-12 18:00:10.000 UTC,37.417426145542414,-122.04875154807698,15.0,43.35085224078
2025-11-12 18:00:11.000 UTC,37.41728599425405,-122.04859479663894,15.125,44.192308876726976
2025-11-12 18:00:12.000 UTC,37.417134158592674,-122.04858096554877,15.25,49.00233934660669
2025-11-12 18:00:13.000 UTC,37.416993448231366,-122.04851976313743,15.375,50.570286552308126
2025-11-12 18:00:14.000 UTC,37.41680584559217,-122.04839350473138,15.875,54.31239148141939
2025-11-12 18:00:15.000 UTC,37.41660751104355,-122.04825416011737,16.625,55.57527739911095
2025-11-12 18:00:16.000 UTC,37.416411279793834,-122.04818768392434,16.25,59.79665504355696
2025-11-12 18:00:17.000 UTC,37.41620922451839,-122.04806258713826,16.375,60.761318941929304
2025-11-12 18:00:18.000 UTC,37.41600397350267,-122.047978391344,16.625,65.1806286012676
2025-11-12 18:00:19.000 UTC,37.41574185909703,-122.04784593117073,16.875,66.61540494345954
2025-11-12 18:00:20.000 UTC,37.415529928263275,-122.04770233232529,16.75,69.57108163209095
2025-11-12 18:00:21.000 UTC,37.41526962099597,-122.04756477118868,0.0,74.25521352699259
2025-11-12 18:00:22.000 UTC,37.415005180891605,-122.047366853992,0.0,78.4379117944701
2025-11-12 18:00:23.000 UTC,37.41471778191626,-122.04721613215284,0.0,79.68986878501947
