code,name,country,latitude,longitude
13ME,Socatean Bay Airport,US,45.77569962,-69.81330109
13NC,Oak Grove Marine Corps Outlying Field,US,35.02629852,-77.26360321
13Y,Littlefork Muni/Hanover Airport,US,48.40829849,-93.58560181
14AZ,Ruby Star Airpark,US,31.90640068,-111.1289978
14MS,Rose Field,US,32.3443985,-89.03970337
14NC,Camp Davis Marine Corps Outlying Field,US,34.50310135,-77.56169891
14OI,Pleasant Home Gliding Club Gliderport,US,40.91759872,-82.11799622
14S,Westport Airport,US,46.89929962,-124.1039963
14TS,O S Wyatt Airport,US,27.42950058,-98.60769653
14WS,Lakewood Lodge Airport,US,45.7806015,-91.56159973
15AR,Taylor Airport,US,34.82870102,-90.54570007
15FL,Cannon Creek Airpark,US,30.15859985,-82.66639709
15G,Weltzien Skypark Airport,US,41.02539825,-81.80020142
15MN,Tyler Farms Airport,US,45.25999832,-94.51439667
16S,Myrtle Creek Municipal Airport,US,42.99499893,-123.3190002
16X,Propwash Airport,US,33.08470154,-97.35970306
17FL,Jumbolair-Greystone Airport,US,29.29059982,-82.12480164
17TX,Kimzey Airport,US,32.4530983,-98.25540161
17XS,Quahadi Ranch Airport,US,32.16960144,-98.43859863
18AZ,Sky Ranch At Carefree Airport,US,33.81639862,-111.9039993
18K,Fowler Airport,US,37.38159943,-100.1880035
18TA,West Kerr Ranch Airport,US,30.14209938,-99.74610138
18TE,Alert Field,US,32.58530045,-95.07219696
18Y,Milaca Municipal Airport,US,45.77600098,-93.63439941
19AR,Naylor field,US,35.15679932,-92.22709656
19AZ,Montezuma Airport,US,34.6094017,-111.8659973
19MT,N Bar Ranch Airport,US,46.83530426,-108.9481201
1A2,Arthur Airport,US,47.11650085,-97.20839691
1AZ0,Bishop Airfield,US,33.10139847,-112.2740021
1C8,Cottonwood Airport,US,42.29550171,-89.13610077
1C9,Frazier Lake Airpark,US,36.95090103,-121.4670029
1CD2,Tonga Airport,US,40.16650009,-104.7979965
1CO5,Melon Field,US,38.01580048,-103.7089996
1D2,Canton-Plymouth-Mettetal Airport,US,42.35100174,-83.45649719
1D4,Mayfield Airport,US,40.99259949,-81.43579865
1D6,Hector Municipal Airport,US,44.73279953,-94.71499634
1G8,Eddie Dew Memorial Airpark,US,40.47280121,-80.62650299
1H4,Greenville-Rainbow Airport,US,42.42219925,-74.00689697
1H9,Nest of Eagles Airport,US,45.83069992,-91.80410004
1I9,Delphi Municipal Airport,US,40.54679871,-86.68139648
1K1,Lloyd Stearman Field,US,37.78150177,-97.11380005
1K6,Ellinwood Municipal Airport,US,38.37630081,-98.59870148
1LS0,Cal Mire Field,US,30.22940063,-90.88269806
1M8,Myricks Airport,US,41.83810043,-71.03079987
1MO3,Lake Viking Airport,US,39.93719864,-94.07640076
1MS8,Columbus Air Force Base Auxiliary Field (Gunshy),US,32.94609833,-88.58670044
1MY1,Carlson Agricultural Airport,US,45.9856987,-96.20330048
1N5,Bennett Airport,US,38.41550064,-75.61730194
1O6,Dunsmuir Muni-Mott Airport,US,41.26649857,-122.2740021
1OK3,Wolfe Field Airport,US,34.57970047,-97.81439972
1Q1,Eckert Field,US,36.16479874,-119.052002
1Q5,Gravelly Valley Airport,US,39.44589996,-122.9580002
1S2,Darrington Municipal Airport,US,48.25979996,-121.6149979
1S6,Priest River Municipal Airport,US,48.18740082,-116.913002
1S7,Slate Creek Airport,US,45.67430115,-116.3089981
1T8,Bulverde Airpark,US,29.74296379,-98.45191956
1TE1,Briscoes Catarina Ranch Airport,US,28.25419998,-99.82129669
1TS9,Four Winds Airport / Cavanaugh Ranch Airport,US,33.37266541,-96.75463867
1U0,Bear Trap Airport,US,42.97430038,-113.3550034
1U1,Moose Creek US Forest Service Airport,US,46.1216011,-114.9260025
1U3,Murphy Airport,US,43.21839905,-116.552002
1U4,New Meadows Airport,US,44.98099899,-116.2860031
1U6,Oakley Municipal Airport,US,42.23910141,-113.8779984
1VA1,Micro Airport,US,36.73400116,-80.45349884
1VA8,Hazelswart Airport,US,36.86439896,-78.41349792
1W1,Grove Field,US,45.62789917,-122.4100037
1W3,Mexico Farms Airport,US,39.60570145,-78.7641983
1WA6,Fall City Airport,US,47.55939865,-121.8700027
1WI8,Jorgensen - Stoller Airport,US,44.63940048,-87.44049835
1WN3,Danielson Field Airport,US,45.21340179,-92.53919983
1XS8,Pinon Ranch Airport,US,29.63990021,-100.3769989
1Y5,New Hampton Municipal Airport,US,43.09209824,-92.34480286
1Y9,Paullina Municipal Airport,US,42.99200058,-95.66400146
1Z1,Grand Canyon Bar Ten Airstrip,US,36.26279831,-113.2310028
20AR,Rak Airport,US,35.30720139,-92.32309723
20GA,Earl L. Small Jr. Field/Stockmar Airport,US,33.75730133,-84.89279938
20IA,Hobbes Field,US,41.52063751,-93.80227661
21AZ,White Mountain Lake Airport,US,34.35609818,-109.9749985
21MU,The Peninsula Airport,US,36.56900024,-93.50910187
22XS,Longhorn Auxiliary Landing Strip,US,31.37809944,-97.66919708
23D,Karlstad Municipal Airport,US,48.58269882,-96.54290009
23ND,Minnkota Private Airport,US,47.08129883,-101.2750015
23XS,Shorthorn Auxiliary Landing Strip,US,31.36339951,-97.67449951
24AR,Griffin Agricultural Airport,US,34.20149994,-90.95240021
24C,Lowell City Airport,US,42.95299911,-85.34790039
24CL,Boswell Airport,US,36.09749985,-119.5469971
24IA,Isley Field,US,42.51580048,-92.52459717
24K,Krassel US Forest Service Airport,US,44.97629929,-115.7289963
25IA,Virl B Deal Airfield,US,43.39690018,-92.96511078
25NC,Smith Air Strip,US,35.63759995,-79.71070099
25TA,Ferris Airport,US,29.83659935,-94.97309875
25TS,Miller Airfield,US,36.1006012,-102.4160004
26AR,"Fly ""N"" K Airport",US,35.21659851,-91.81269836
26N,Ocean City Municipal Airport,US,39.26070023,-74.61129761
26W,Wolf Lake Airport,US,42.21089935,-84.23339844
27AZ,Eagle Roost Airpark,US,33.92470169,-113.1669998
27C,Mecosta Morton Airport,US,43.62990189,-85.26540375
27IA,Oldfield Aero,US,40.75130081,-92.03410339
27MS,Jolly Field,US,32.76083755,-89.41075897
27W,Lake Wenatchee State Airport,US,47.82049942,-120.7249985
28M,Cranland Airport,US,42.02750015,-70.83899689
28TA,Duval County Ranch Co Airport,US,27.84440041,-98.72720337
29AZ,Paloma Ranch Airport,US,32.90029907,-112.9069977
29IA,Hilltop Airport,US,40.760414,-95.624069
29N,Kroelinger Airport,US,39.52429962,-75.05000305
29TX,Lockett Airport,US,34.09809875,-99.36810303
2B1,Cape Cod Airport,US,41.68429947,-70.4076004
2C4,Flying A Airport,US,43.81679916,-92.34249878
2C5,Almena Airport,US,42.25249863,-85.85630035
2C6,Tri-County Airport,US,40.77030182,-90.0759964
2CL9,Mustang Airport,US,38.33390045,-121.310997
2CN4,Wonderful Pistachios & Almonds Airport,US,35.65420151,-119.8820038
